,name_x,cases,IDHM,IBGE_POP
560,Patos de Minas,2803,0.765,124101
561,Patrocínio,2093,0.73,71918
562,Patrocínio do Muriaé,43,0.682,4303
563,Paula Cândido,29,0.637,4915
564,Paulistas,8,0.625,2290
565,Pavão,35,0.627,5176
566,Peçanha,60,0.627,9035
567,Pedra Azul,144,0.627,20912
568,Pedra Bonita,43,0.573,1805
569,Pedra do Anta,4,0.624,2191
570,Pedra do Indaiá,94,0.708,2052
571,Pedra Dourada,14,0.655,1297
572,Pedralva,24,0.675,5504
573,Pedras de Maria da Cruz,64,0.614,6323
574,Pedrinópolis,70,0.73,2911
575,Pedro Leopoldo,818,0.757,55232
576,Pedro Teixeira,0,0.637,965
577,Pequeri,24,0.69,2908
578,Pequi,23,0.674,2949
579,Perdigão,180,0.703,7062
580,Perdizes,401,0.723,9784
581,Perdões,246,0.74,17714
582,Periquito,105,0.65,5289
583,Pescador,38,0.66,3195
584,Piau,11,0.629,1669
585,Piedade de Caratinga,78,0.612,4592
586,Piedade de Ponte Nova,35,0.639,3156
587,Piedade do Rio Grande,29,0.68,3423
588,Piedade dos Gerais,74,0.626,2077
589,Pimenta,22,0.69,6879
590,Pingo d'Água,48,0.619,4029
591,Pintópolis,18,0.594,2532
592,Piracema,56,0.65,3003
593,Pirajuba,171,0.723,4097
594,Piranga,86,0.6,5899
595,Piranguçu,56,0.685,1721
596,Piranguinho,138,0.72,4762
597,Pirapetinga,505,0.71,9089
598,Pirapora,1372,0.731,51887
599,Piraúba,57,0.684,8768
600,Pitangui,306,0.725,22436
601,Piumhi,465,0.737,28288
602,Planura,279,0.71,9326
603,Poço Fundo,150,0.691,9212
604,Poços de Caldas,1506,0.779,148198
605,Pocrane,75,0.626,5374
606,Pompéu,339,0.69,25352
607,Ponte Nova,632,0.72,51046
608,Ponto Chique,31,0.606,2577
609,Ponto dos Volantes,94,0.595,4025
610,Porteirinha,557,0.65,19222
611,Porto Firme,132,0.634,4811
612,Poté,147,0.624,9299
613,Pouso Alegre,3254,0.774,118760
614,Pouso Alto,73,0.71,3605
615,Prados,26,0.69,5872
616,Prata,671,0.695,19257
617,Pratápolis,123,0.73,7739
618,Pratinha,45,0.721,1758
619,Presidente Bernardes,6,0.632,1626
620,Presidente Juscelino,41,0.614,1846
621,Presidente Kubitschek,14,0.595,2012
622,Presidente Olegário,175,0.701,13036
623,Alto Jequitibá,94,0.66,4719
624,Prudente de Morais,93,0.69,9120
625,Quartel Geral,13,0.68,2749
626,Queluzito,10,0.682,847
627,Raposos,455,0.73,14988
628,Raul Soares,84,0.655,15377
629,Recreio,70,0.69,9048
630,Reduto,148,0.629,3648
631,Resende Costa,72,0.685,8672
632,Resplendor,540,0.67,12969
633,Ressaquinha,5,0.68,2979
634,Riachinho,57,0.632,4429
635,Riacho dos Machados,53,0.627,4497
636,Ribeirão das Neves,4113,0.684,272404
637,Ribeirão Vermelho,18,0.737,3532
638,Rio Acima,282,0.67,8453
639,Rio Casca,168,0.65,11171
640,Rio Doce,10,0.664,1650
641,Rio do Prado,33,0.605,2717
642,Rio Espera,24,0.602,2377
643,Rio Manso,86,0.648,2802
644,Rio Novo,44,0.71,7490
645,Rio Paranaíba,622,0.71,7876
646,Rio Pardo de Minas,188,0.624,11636
647,Rio Piracicaba,327,0.685,11229
648,Rio Pomba,77,0.71,14384
649,Rio Preto,13,0.679,4408
650,Rio Vermelho,5,0.56,5443
651,Ritápolis,8,0.653,3407
652,Rochedo de Minas,7,0.684,1914
653,Rodeiro,187,0.67,5506
654,Romaria,44,0.708,2707
655,Rosário da Limeira,37,0.662,2283
656,Rubelita,7,0.58,2514
657,Rubim,27,0.609,7678
658,Sabará,1416,0.731,119262
659,Sabinópolis,24,0.638,10099
660,Sacramento,832,0.732,19131
661,Salinas,669,0.679,30607
662,Salto da Divisa,48,0.608,5743
663,Santa Bárbara,619,0.71,25790
664,Santa Bárbara do Leste,107,0.613,3959
665,Santa Bárbara do Monte Verde,3,0.606,1607
666,Santa Bárbara do Tugúrio,5,0.637,2187
667,Santa Cruz de Minas,73,0.706,7861
668,Santa Cruz de Salinas,21,0.58,1150
669,Santa Cruz do Escalvado,33,0.625,1728
670,Santa Efigênia de Minas,34,0.607,3044
671,Santa Fé de Minas,16,0.615,2262
672,Santa Helena de Minas,56,0.57,3760
673,Santa Juliana,514,0.706,9757
674,Santa Luzia,2162,0.715,191977
675,Santa Margarida,290,0.61,7612
676,Santa Maria de Itabira,78,0.648,6278
677,Santa Maria do Salto,12,0.613,3739
678,Santa Maria do Suaçuí,87,0.64,10538
679,Santana da Vargem,43,0.698,5277
680,Santana de Cataguases,30,0.69,2913
681,Santana de Pirapama,48,0.628,3297
682,Santana do Deserto,67,0.65,1404
683,Santana do Garambéu,5,0.667,1548
684,Santana do Jacaré,21,0.647,4382
685,Santana do Manhuaçu,116,0.621,4133
686,Santana do Paraíso,2360,0.685,25947
687,Santana do Riacho,27,0.665,2260
688,Santana dos Montes,8,0.647,2285
689,Santa Rita de Caldas,217,0.69,5532
690,Santa Rita de Jacutinga,18,0.682,3736
691,Santa Rita de Minas,172,0.613,4746
692,Santa Rita de Ibitipoca,1,0.63,2232
693,Santa Rita do Itueto,273,0.607,2566
694,Santa Rita do Sapucaí,486,0.721,31718
695,Santa Rosa da Serra,15,0.705,1956
696,Santa Vitória,418,0.71,14334
697,Santo Antônio do Amparo,118,0.672,15137
698,Santo Antônio do Aventureiro,18,0.67,2374
699,Santo Antônio do Grama,14,0.633,3365
700,Santo Antônio do Itambé,25,0.56,1230
701,Santo Antônio do Jacinto,414,0.574,6341
702,Santo Antônio do Monte,456,0.72,21302
703,Santo Antônio do Retiro,83,0.57,1590
704,Santo Antônio do Rio Abaixo,16,0.669,887
705,Santo Hipólito,32,0.657,2233
706,Santos Dumont,285,0.741,41193
707,São Bento Abade,4,0.672,4236
708,São Brás do Suaçuí,18,0.664,3128
709,São Domingos das Dores,31,0.638,2573
710,São Domingos do Prata,64,0.69,10434
711,São Félix de Minas,51,0.62,2082
712,São Francisco,387,0.638,34060
713,São Francisco de Paula,55,0.66,4622
714,São Francisco de Sales,138,0.688,4293
715,São Francisco do Glória,35,0.66,3129
716,São Geraldo,55,0.65,7226
717,São Geraldo da Piedade,47,0.6,1048
718,São Geraldo do Baixio,18,0.63,2438
719,São Gonçalo do Abaeté,33,0.67,4161
720,São Gonçalo do Pará,77,0.69,7940
721,São Gonçalo do Rio Abaixo,282,0.667,4649
722,São Gonçalo do Sapucaí,119,0.715,19637
723,São Gotardo,1291,0.736,29284
724,São João Batista do Glória,118,0.72,5579
725,São João da Lagoa,26,0.634,2388
726,São João da Mata,31,0.653,1706
727,São João da Ponte,98,0.569,8616
728,São João das Missões,49,0.529,2431
729,São João del Rei,827,0.758,79654
730,São João do Manhuaçu,121,0.65,4178
731,São João do Manteninha,143,0.64,2904
732,São João do Oriente,120,0.648,6319
733,São João do Pacuí,6,0.625,1921
734,São João do Paraíso,140,0.615,10219
735,São João Evangelista,53,0.638,10057
736,São João Nepomuceno,200,0.708,23687
